Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-OCT-2019,2441.55,2449.75,2352.55,2397.05,137817713,1686.98
30-SEP-2019,2428.65,2444.05,2385.1,2439.85,125396406,1617.05
27-SEP-2019,2514,2515.8,2446.1,2453.95,139274345,1755.19
26-SEP-2019,2427.85,2529.95,2422.55,2520.45,176637060,2522.05
25-SEP-2019,2455.2,2461.6,2404.5,2419.75,99755216,1266.78
24-SEP-2019,2528.4,2528.4,2481.15,2485.1,95245400,1410.02
23-SEP-2019,2569.25,2576.25,2496.85,2526.2,144675202,2077.41
20-SEP-2019,2374.75,2519.4,2338.95,2497.65,275208322,3768.47
19-SEP-2019,2395.65,2395.95,2335.9,2363.45,122579323,1488.62
18-SEP-2019,2387.8,2415.75,2373.45,2402.65,131309592,1718.23
17-SEP-2019,2441.35,2468.7,2369.7,2375.85,193803566,1963.56
16-SEP-2019,2418.8,2447.65,2414.55,2440.55,82831422,1075.5
13-SEP-2019,2417.35,2450.35,2384.8,2444.1,117248330,1499.11
12-SEP-2019,2423.6,2452.55,2403.85,2410.6,140491714,2014.4
11-SEP-2019,2373.1,2419.1,2371.45,2414.55,130371811,1793.58
09-SEP-2019,2356.85,2382.9,2322.6,2360.05,106820438,1464.42
06-SEP-2019,2324.65,2366.5,2295.5,2357.7,112756509,1540.74
05-SEP-2019,2280.1,2341.35,2280.1,2313.6,140379199,1954.18
04-SEP-2019,2219.95,2259.4,2198.85,2254.65,107721458,1288.18
03-SEP-2019,2269.7,2270.4,2211.1,2218.95,80035369,1022.81
30-AUG-2019,2282.15,2310.9,2243,2289.95,164734483,2173.31
29-AUG-2019,2212.95,2274.75,2196.1,2254.35,162182495,2198.47
28-AUG-2019,2297.8,2299.7,2211.9,2226.45,104131736,1418.26
27-AUG-2019,2275.85,2314.2,2262.65,2303.9,130994096,1812.26
26-AUG-2019,2297.3,2305.25,2174.1,2256.65,148604221,2083.3
23-AUG-2019,2191.4,2290.15,2183.25,2278.65,129503257,1525.9
22-AUG-2019,2263.2,2272.55,2189.85,2203.6,156143956,1865.04
21-AUG-2019,2340.35,2342.4,2277.25,2283.2,126068128,1482.49
20-AUG-2019,2391.65,2393.05,2337.2,2351.15,92494798,1209.42
19-AUG-2019,2413.7,2420.7,2384.9,2391.35,74033733,1071.08
16-AUG-2019,2391.95,2411.2,2356.5,2402.05,115682747,1627.3
14-AUG-2019,2381.7,2423.65,2367.75,2411.05,162317062,2175.36
13-AUG-2019,2381.85,2410.75,2350.05,2355.9,140378237,1667.1
09-AUG-2019,2430.7,2453.5,2390.1,2398,111809408,1691.56
08-AUG-2019,2391.25,2425.15,2355.75,2418.8,138274688,2060.46
07-AUG-2019,2441.85,2445.15,2378.2,2389.45,98686916,1500.87
06-AUG-2019,2385.5,2466.5,2385.1,2448.05,97127314,1516.01
05-AUG-2019,2428.2,2439.45,2362.75,2415.35,105475190,1556.05
02-AUG-2019,2474.7,2494.95,2430.35,2459.1,133622061,2006.15
01-AUG-2019,2571.2,2572.05,2486.7,2507.05,97881598,1559.26
31-JUL-2019,2513.55,2595.9,2495.4,2588.15,100321010,1583.79
30-JUL-2019,2614,2646.2,2510.35,2527,102407306,1570.96
