Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
08-NOV-2019,278.35,284.95,278.2,281.05,55500706,1089.24
07-NOV-2019,282.6,282.6,275.2,276.45,28105589,580.54
06-NOV-2019,271.45,275.95,271.1,274.05,20936842,458.36
05-NOV-2019,269.15,270.95,266.6,267.7,13959029,289.33
04-NOV-2019,272.7,273.45,268.75,269.6,10009428,187.8
01-NOV-2019,270.6,273.35,268.95,271.15,7055260,164.2
31-OCT-2019,270.05,272.5,268.4,269,20243288,409.81
30-OCT-2019,268.2,268.65,265.15,265.85,9468867,181.77
29-OCT-2019,264.75,268.5,264.35,267.3,9235452,192.89
27-OCT-2019,266.65,266.9,264.2,265,1190756,22.83
25-OCT-2019,264,265.5,261.3,264.9,11838127,225.11
24-OCT-2019,262.75,265.25,261.1,263.95,10814849,248.18
23-OCT-2019,264.1,265.1,260.25,261.55,14159685,283.38
22-OCT-2019,262.25,267.7,260.35,263.85,26644795,465.15
18-OCT-2019,259,263.5,257.8,262.8,17365573,308.04
17-OCT-2019,255.15,259.15,254,257.85,15775486,242.73
16-OCT-2019,254.3,258.2,253.85,256.35,14959871,242.67
15-OCT-2019,252.8,255.1,250.6,253.7,12196276,180.27
14-OCT-2019,249.6,255.8,248.3,252.05,20249571,339.18
11-OCT-2019,245.65,248.8,243.1,247.3,15181982,224.11
10-OCT-2019,250,250.25,243.95,244.95,17500017,238.76
09-OCT-2019,245.95,251.45,243.45,250.25,19281951,296.9
07-OCT-2019,248.1,248.4,244.55,245.25,10959733,163.3
04-OCT-2019,252.75,253.45,246.45,248.15,23698731,298.16
03-OCT-2019,248.35,256.1,246.2,251.2,14517100,285.12
01-OCT-2019,258.65,259.25,241,248.1,20411689,345.39
30-SEP-2019,261.5,261.65,253.8,258.75,13499808,263.21
27-SEP-2019,267.15,267.25,261,261.7,15696897,302.9
26-SEP-2019,261.25,268.85,260.65,267.8,17774484,370.39
25-SEP-2019,270.15,270.15,259.75,260.95,19593656,338.8
24-SEP-2019,272.35,273.95,267.3,269.2,12081736,237.75
23-SEP-2019,269.65,276.35,267.25,272.8,19648525,382.97
20-SEP-2019,255.1,267.2,251.95,265.3,43527694,775.02
19-SEP-2019,259.45,259.45,254.5,255.4,11183120,162.21
18-SEP-2019,257.1,259.95,255.15,259.4,24161567,324.19
17-SEP-2019,265.5,266.65,254.95,255.65,16044151,273.95
16-SEP-2019,265.85,269.1,264.2,265.55,17518596,280.01
13-SEP-2019,265.3,271.2,263.45,268.1,21104145,398.67
12-SEP-2019,267.4,268.8,263.25,264.25,20347289,322.58
11-SEP-2019,257,269.15,255.4,266.6,24951680,472.79
09-SEP-2019,255.25,256.7,253.75,256,12695728,209.28
06-SEP-2019,256.55,256.85,251.55,254.3,41898217,639.01
05-SEP-2019,261.3,261.45,255,256,13853203,235.85
04-SEP-2019,260.3,261.55,256.75,260.7,17162927,305.32
03-SEP-2019,263.8,266.95,259.45,261.15,10879485,220.62
30-AUG-2019,264.3,267.95,263,267.2,14741398,264.31
29-AUG-2019,262.4,264.9,260.7,263.8,18605775,363.07
28-AUG-2019,257.5,263.1,256.35,262.7,23075781,446.87
27-AUG-2019,254,257.5,252.45,256.6,19526622,332.02
26-AUG-2019,249.55,254.25,242.55,253.7,36950654,642.3
23-AUG-2019,239,245.95,235.95,244.55,48602979,735.48
22-AUG-2019,256.6,256.9,239.35,242.6,91858688,1434.75
21-AUG-2019,263.4,263.55,255.25,258.55,11157890,285.61
20-AUG-2019,266,267.15,262.75,263.8,8531573,188.74
19-AUG-2019,266.4,269.35,265.85,266.75,9680887,207.85
16-AUG-2019,263.5,267,262,265.1,11222936,195.05
14-AUG-2019,264.25,266.25,262.55,264.35,9159270,164.17
13-AUG-2019,265.4,266.75,261.3,263,13506356,214.42
09-AUG-2019,264.15,267.7,263.95,265.65,14088996,225.68
08-AUG-2019,261.15,264.15,258.7,263.5,15152441,230.79
07-AUG-2019,261.75,265.45,258.2,258.7,25844020,299.4
06-AUG-2019,256.95,263.8,256.45,262.45,14387779,213.3
05-AUG-2019,258.35,259,253.8,257.9,27671872,339.57
02-AUG-2019,261.35,265.45,256.95,262.6,21956923,357.38
01-AUG-2019,265.9,269.05,262.4,264.55,17612172,312.14
31-JUL-2019,266.55,267.95,259.45,267.45,25847104,403.1
30-JUL-2019,270.5,273.9,267.15,268.05,23056402,408.08
29-JUL-2019,272.6,273.15,269.8,271.85,15448291,246.14
26-JUL-2019,273.6,275.05,271.95,274.4,8289985,167.07
25-JUL-2019,271.75,275.55,270.6,273.8,11924066,253.83
24-JUL-2019,276.7,278.15,270,273.45,14692033,261.01
23-JUL-2019,274.25,278.2,273.15,276.35,9429804,193.82
